"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CURD test with steps","This will create a New Category","SUCCESS","2022-06-11T21:25:29.809+01:00[Europe/London]","0.0","10.08"
"Products CURD test with steps","This will create a New product","SUCCESS","2022-06-11T21:25:29.848+01:00[Europe/London]","0.0","10.13"
"Categories CURD test with steps","Verify if the Category was added to the application","SUCCESS","2022-06-11T21:25:39.929+01:00[Europe/London]","0.0","0.14"
"Products CURD test with steps","Verify if the Product was added to the application","SUCCESS","2022-06-11T21:25:40.029+01:00[Europe/London]","0.0","0.21"
"Categories CURD test with steps","Update the Category information","SUCCESS","2022-06-11T21:25:40.072+01:00[Europe/London]","0.0","0.31"
"Products CURD test with steps","Update the product information","SUCCESS","2022-06-11T21:25:40.249+01:00[Europe/London]","0.0","0.46"
"Products CURD test with steps","Delete the product by ID","SUCCESS","2022-06-11T21:25:40.706+01:00[Europe/London]","0.0","0.15"
"Services CRUD test with step","This will create a New Service","SUCCESS","2022-06-11T21:25:42.518+01:00[Europe/London]","0.0","0.14"
"Services CRUD test with step","Verify if the Product was added to the application","SUCCESS","2022-06-11T21:25:42.657+01:00[Europe/London]","0.0","0.07"
"Services CRUD test with step","Update the product information","SUCCESS","2022-06-11T21:25:42.732+01:00[Europe/London]","0.0","0.19"
"Services CRUD test with step","Delete the product by ID","SUCCESS","2022-06-11T21:25:42.925+01:00[Europe/London]","0.0","0.22"
"Stores CRUD test with steps","This will create a New Store","SUCCESS","2022-06-11T21:25:43.502+01:00[Europe/London]","0.0","0.22"
"Stores CRUD test with steps","Verify if the Product was added to the application","SUCCESS","2022-06-11T21:25:43.722+01:00[Europe/London]","0.0","0.11"
"Utilities CRUD test with steps","Get the version of Application","SUCCESS","2022-06-11T21:25:43.731+01:00[Europe/London]","0.0","0.12"
"Stores CRUD test with steps","Update the product information","SUCCESS","2022-06-11T21:25:43.830+01:00[Europe/London]","0.0","0.23"
"Utilities CRUD test with steps","Get the Health check of Application","SUCCESS","2022-06-11T21:25:43.861+01:00[Europe/London]","0.0","0.2"
"Stores CRUD test with steps","Delete the product by ID","SUCCESS","2022-06-11T21:25:44.064+01:00[Europe/London]","0.0","0.12"
